	Date	Open	High	Low	Close	Volume
0	2022-10-06	1352.7958984375	1380.2353515625	1352.7958984375	1358.726806640625	11498382336
1	2022-10-05	1361.972900390625	1362.4517822265625	1320.8551025390625	1352.837158203125	9774451820
2	2022-10-04	1323.2783203125	1364.970947265625	1320.07666015625	1362.1265869140625	10139774963
3	2022-10-03	1276.1634521484375	1326.554443359375	1271.15087890625	1323.439208984375	10153070907
4	2022-10-02	1311.75341796875	1316.330078125	1275.3360595703125	1276.093505859375	7578351650
5	2022-10-01	1328.1937255859375	1332.5164794921875	1306.1025390625	1311.6444091796875	6227961237
6	2022-09-30	1335.646484375	1368.743408203125	1320.3831787109375	1327.9786376953125	14250100093
7	2022-09-29	1337.554443359375	1348.107666015625	1293.193359375	1335.65234375	13796915736
8	2022-09-28	1329.5413818359375	1351.9644775390625	1267.8692626953125	1337.410888671875	18994979566
9	2022-09-27	1335.3370361328125	1396.8914794921875	1308.991455078125	1330.127685546875	17870598937
10	2022-09-26	1294.3861083984375	1335.5263671875	1282.04931640625	1335.3201904296875	16034549271
11	2022-09-25	1317.9384765625	1333.371337890625	1275.627685546875	1294.216796875	11802651633
12	2022-09-24	1328.24462890625	1346.2552490234375	1312.6402587890625	1317.9932861328125	12098209717
13	2022-09-23	1327.481201171875	1353.288330078125	1270.1983642578125	1328.259521484375	18771106339
14	2022-09-22	1251.5673828125	1336.1578369140625	1240.96826171875	1327.68017578125	18461527259
15	2022-09-21	1324.215576171875	1384.4769287109375	1229.4267578125	1252.6077880859375	20643507800
16	2022-09-20	1377.6190185546875	1381.9656982421875	1319.201416015625	1324.38818359375	14722317220
17	2022-09-19	1335.270751953125	1388.272216796875	1287.4208984375	1377.5413818359375	18712714223
18	2022-09-18	1469.7054443359375	1469.7054443359375	1331.4947509765625	1335.3291015625	15762284723
19	2022-09-17	1432.87646484375	1473.0604248046875	1415.0423583984375	1469.74169921875	10798098671
20	2022-09-16	1471.9283447265625	1480.564208984375	1415.581298828125	1432.44775390625	16764804299
21	2022-09-15	1635.0830078125	1648.9456787109375	1466.139404296875	1471.6934814453125	26946275878
22	2022-09-14	1574.858154296875	1642.1572265625	1564.0318603515625	1634.7550048828125	17897150206
23	2022-09-13	1713.9625244140625	1745.779052734375	1564.0318603515625	1580.7879638671875	23066821734
24	2022-09-12	1762.0848388671875	1778.1634521484375	1698.29345703125	1713.7652587890625	17688391310
25	2022-09-11	1775.97607421875	1782.7298583984375	1730.164794921875	1761.800048828125	12464301922
26	2022-09-10	1718.9613037109375	1784.497802734375	1710.2969970703125	1776.2037353515625	13130928217
27	2022-09-09	1635.187744140625	1735.809814453125	1632.8365478515625	1719.08544921875	20242323690
28	2022-09-08	1629.80517578125	1655.0640869140625	1603.0638427734375	1635.34765625	17621046717
29	2022-09-07	1560.90673828125	1651.0511474609375	1500.013671875	1629.9063720703125	19560363854
30	2022-09-06	1617.240234375	1680.5953369140625	1561.74853515625	1561.74853515625	22946059125
31	2022-09-05	1577.884033203125	1621.661376953125	1559.7818603515625	1617.1832275390625	13060541168
32	2022-09-04	1556.8958740234375	1578.00927734375	1543.6988525390625	1577.6416015625	8884144998
33	2022-09-03	1577.2137451171875	1579.454345703125	1541.672119140625	1556.8726806640625	9516825994
34	2022-09-02	1586.0179443359375	1643.1832275390625	1551.8779296875	1577.220458984375	17708478709
